modelo,accuracy_media,accuracy_desvio,precision_media,precision_desvio,recall_media,recall_desvio,f1_media,f1_desvio,roc_auc_media,roc_auc_desvio
Árvore de Decisão,0.7680792891319208,0.06028057120726698,0.6820263563604118,0.09705718571802198,0.644871794871795,0.16240322106100158,0.6514201518201304,0.11353737913995841,0.8001438746438747,0.05180829956498971
Naive Bayes (Gaussiano),0.7460184552289816,0.06052872072623182,0.6610159596570666,0.12216138643671823,0.600997150997151,0.10844648043246483,0.6222077239043162,0.08780172819142101,0.8128119658119658,0.05710034035021015
KNN,0.7473171565276828,0.0571984918258488,0.6507587085658614,0.08982889703287589,0.6007122507122508,0.09965006018895105,0.6225240553323899,0.0884661321332196,0.7981951566951566,0.06569062766667846
