modelo,accuracy_media,accuracy_desvio,precision_media,precision_desvio,recall_media,recall_desvio,f1_media,f1_desvio,roc_auc_media,roc_auc_desvio
Árvore de Decisão,0.7406698564593301,0.04885043897855968,0.6399358163429613,0.10102641884732358,0.6753561253561253,0.13301891788753148,0.6423690636848531,0.06038441107312045,0.8130783475783476,0.051910891394466904
Naive Bayes (Gaussiano),0.7460184552289816,0.06052872072623182,0.6610159596570666,0.12216138643671823,0.600997150997151,0.10844648043246483,0.6222077239043162,0.08780172819142101,0.8128119658119658,0.05710034035021015
KNN,0.7499316473000684,0.06376029283463236,0.6541194373952994,0.10391979338505115,0.6115384615384615,0.08997178512810915,0.6308997569501771,0.09176024355006716,0.793994301994302,0.062076961976279765
